Date : 2023-04-17 11:36:38
Directory : /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb
Total : 85 files,  1860 codes, 50 comments, 376 blanks, all 2286 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         85 |      1,860 |         50 |        376 |      2,286 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPWhereOracle.java         | Java     |         47 |          0 |          9 |         56 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/DuckDBErrors.java                                      | Java     |        -88 |         -5 |        -23 |       -116 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/DuckDBOptions.java                                     | Java     |       -122 |          0 |        -36 |       -158 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/DuckDBProvider.java                                    | Java     |       -141 |         -1 |        -23 |       -165 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/DuckDBSchema.java                                      | Java     |       -239 |         -5 |        -38 |       -282 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/DuckDBToStringVisitor.java                             | Java     |        -83 |          0 |         -9 |        -92 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/ast/DuckDBConstant.java                                | Java     |       -135 |          0 |        -58 |       -193 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/ast/DuckDBExpression.java                              | Java     |         -3 |          0 |         -3 |         -6 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/ast/DuckDBJoin.java                                    | Java     |       -103 |          0 |        -22 |       -125 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/ast/DuckDBSelect.java                                  | Java     |        -12 |          0 |         -7 |        -19 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBAlterTableGenerator.java                     | Java     |        -64 |          0 |         -7 |        -71 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBDeleteGenerator.java                         | Java     |        -25 |          0 |         -6 |        -31 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBExpressionGenerator.java                     | Java     |       -364 |         -8 |        -75 |       -447 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBIndexGenerator.java                          | Java     |        -53 |          0 |         -7 |        -60 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBInsertGenerator.java                         | Java     |        -43 |         -1 |        -10 |        -54 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/duckdb/gen/DuckDBRandomQuerySynthesizer.java                  | Java     |        -56 |         -7 |         -8 |        -71 |
